,team_id,win,losses,name,tag,last_match_time,rating,TS_rating,capitan,player_1,player_2,player_3,player_4,player_5
31,31,16,36,Darer,Darer,1349278381,830.3288890859579,"trueskill.Rating(mu=1068.362, sigma=2.466)",0,59629938,92508984,86732705,91364912,102389294
12,12,54,65,Ahead.kz,Ahead.kz,1383074801,1060.3899851408512,"trueskill.Rating(mu=1080.941, sigma=1.145)",0,69325073,86747757,89742217,91918857,88792641
37,37,1,4,Mineski Hyper-X,Mineski.,1339098186,954.8036601935837,"trueskill.Rating(mu=906.193, sigma=37.684)",0,100718984,90141386,92710509,91791553,92704330
24,24,327,368,Trust Gaming,Trust,1499358573,1081.6192233719128,"trueskill.Rating(mu=1079.539, sigma=0.897)",81481903,85485252,112552914,282359850,91048330,81481903
35,35,3,5,ICE`,ICE`,1339178245,965.2956828579455,"trueskill.Rating(mu=921.200, sigma=27.333)",0,94531730,95284076,89884694,95419831,29053724
20,20,378,416,Newbee.mgb,_,1552055494,1195.5385959893215,"trueskill.Rating(mu=1084.360, sigma=0.852)",164530809,164530809,82327674,88585077,103275898,152915953
30,30,27,29,mTw,mTw,1358364703,921.7508075854939,"trueskill.Rating(mu=1070.534, sigma=2.297)",0,4281729,86767617,98151311,9230085,113634288
1883502,1883502,1202,910,Virtus.pro,VP,1587477429,1501.049131860888,"trueskill.Rating(mu=1091.166, sigma=0.817)",134556694,106573901,111030315,134556694,86725175,113995822
16,16,7,10,MSI-evoGT The-net.com,MSIevoGT,1367584502,957.9499638848572,"trueskill.Rating(mu=1021.576, sigma=18.082)",0,91162296,102099826,115102590,93844428,86772934
11,11,4,2,AEONSports,AEON,1339257376,1026.9507416646763,"trueskill.Rating(mu=1054.273, sigma=42.405)",0,86658924,89603649,1978666,82229931,91642246
9,9,0,5,Keita Gaming,KEITA,1340640816,928.6065385750888,"trueskill.Rating(mu=878.303, sigma=46.701)",0,71983243,25175582,88502795,53151216,44197908
29,29,19,27,Team Quantic,Quantic,1350508807,933.2150471451274,"trueskill.Rating(mu=1079.413, sigma=1.924)",0,66254722,1185644,87591974,41470731,87276347
21,21,6,9,zNation,zNation,1341428892,944.6713743299754,"trueskill.Rating(mu=999.852, sigma=14.952)",0,93614932,86716947,91646642,86840554,53178236
26,26,296,288,mousesports,mouz,1511806266,1056.1089387609684,"trueskill.Rating(mu=1084.186, sigma=0.837)",92949094,92949094,95430068,107855479,119809622,27178898
23,23,3,5,Team Infused,Infs,1340909007,974.2901243274183,"trueskill.Rating(mu=1013.932, sigma=19.430)",0,34128052,32995405,3916428,40602549,88522876
34,34,2,3,DuskBin-Esports,Duskbin,1339178245,990.96572938608,"trueskill.Rating(mu=972.541, sigma=30.201)",0,91443418,91802865,38114864,92919767,91946343
3,3,606,529,compLexity Gaming,coL,1564287934,1059.068472535774,"trueskill.Rating(mu=1084.905, sigma=0.837)",111034589,111034589,12231202,91369376,50828662,117956848
33,33,11,26,Moscow Five,M5,1346480600,857.3150367245262,"trueskill.Rating(mu=1075.634, sigma=2.458)",0,87565571,86931931,89309416,86924586,89269794
22,22,30,25,Counter Logic Gaming,CLG,1349022661,1002.0919999282823,"trueskill.Rating(mu=1084.515, sigma=1.522)",0,41288955,87382579,91988610,17231476,44197908
47,47,4,6,Copenhagen Wolves,Wolves,1349026095,980.4739861280274,"trueskill.Rating(mu=1085.102, sigma=5.976)",0,26863344,20237599,32410065,26682464,7185015
49,49,2,2,HelloMoto,HM,1341432644,996.5480665608408,"trueskill.Rating(mu=948.503, sigma=38.205)",0,86738694,86732705,59629938,86716661,91847481
6,6,14,16,Absolute Legends,aL,1349112816,1019.1605078262953,"trueskill.Rating(mu=1082.597, sigma=2.133)",0,87586992,85375207,87219396,85783343,39226957
45,45,0,4,Hydra,Hydra,1341592267,941.0243160059804,"trueskill.Rating(mu=896.821, sigma=56.778)",0,22706938,86765112,83625397,55297093,86747351
52,52,3,2,uebelst-gamynG,uebelst,1341592267,1013.2661497780348,"trueskill.Rating(mu=998.829, sigma=42.657)",0,37105332,24106261,87197791,31078647,86750146
41,41,115,111,4 Friends + Chrillee,4FC,1427741342,1254.7590951407503,"trueskill.Rating(mu=1081.220, sigma=0.920)",27738470,117015167,86664345,57835748,27738470,102732874
51,51,11,33,We haz Asian,WhA,1357159674,839.3329510919738,"trueskill.Rating(mu=1074.410, sigma=2.145)",0,86738694,20321748,112483545,20771881,7185015
39,39,1089,659,Evil Geniuses,EG,1587319694,1257.1980582914473,"trueskill.Rating(mu=1091.055, sigma=0.841)",30237211,86745912,115141430,94155156,30237211,25907144
