,team_id,name,rating,wins,losses,last_match_time,tag,name2
1838315,1838315,Team Secret,1535.38,753,368,1586288940,Secret,_
2586976,2586976,OG,1520.29,557,306,1586372761,OG,_
5228654,5228654,VGJ Storm,1450.04,79,36,1535061995,VGJ.Storm,_
5026801,5026801,_,1429.8,176,116,1535053843,_,_
350190,350190,Fnatic,1415.96,918,679,1585823416,Fnatic,_
3214108,3214108,Team NP,1401.12,136,90,1498631388,NP,_
726228,726228,Vici Gaming,1398.15,1073,702,1586074261,VG,_
6209804,6209804,Royal Never Give Up,1391.76,180,141,1586423066,RNG,_
2519319,2519319,(monkey) Business,1389.0,45,16,1445985009,(monkey),_
7407260,7407260,Sparking Arrow Gaming,1377.08,88,39,1586343598,SAG,_
15,15,PSG.LGD,1365.43,1125,741,1586246206,PSG.LGD,_
2101260,2101260,BigGooooood,1360.39,35,17,1423390272,BG,_
5,5,INVICTUS GAMING,1355.98,1022,690,1586335840,IG,_
6685591,6685591,ViKin.gg,1354.38,120,70,1586372761,Vikin.gg,_
7554697,7554697,Nigma,1349.95,62,44,1586359984,Nigma,_
1848158,1848158,LV-Gaming,1338.35,46,29,1420608609,Lv,_
999689,999689,Titan,1336.72,182,87,1411994693,Titan,_
4,4,EHOME,1331.4,659,522,1586261071,EHOME,_
7441136,7441136,beastcoast,1330.07,68,41,1585950210,bc,_
1375614,1375614,Newbee,1327.81,917,643,1586423066,Newbee,_
6209166,6209166,Team Aster,1326.71,171,154,1586261071,Aster,_
1883502,1883502,Virtus.pro,1323.89,1165,897,1586347595,VP,_
6214538,6214538,Newbee,1323.25,115,95,1566447672,Newbee,_
5229127,5229127,Winstrike,1317.83,55,40,1534963179,Winstrike,_
4251435,4251435,w33ha earthspirit,1314.81,52,41,1506108006,_,_
166,166,Scenario,1313.02,37,8,1566909386,Scenario,_
543897,543897,Mineski,1311.7,587,503,1566461924,Mineski,_
1910985,1910985,TeamMalaysia,1306.77,90,39,1432358766,MY,_
39,39,Evil Geniuses,1305.98,1081,648,1585867837,EG,_
3922738,3922738, Thunder Awaken ///,1298.86,49,18,1501539783,Thunder,_
1820360,1820360,TEAMERINO TINKERINO,1289.92,127,108,1503241925,TT,_
7732977,7732977,BOOM Esports,1286.29,23,14,1585919842,BOOM,_
293390,293390,Radical Online X-tremists,1284.02,194,188,1401640167,RoX.KIS,_
7203342,7203342,Chaos EC,1283.86,43,34,1581551146,CHAOS,_
6209143,6209143,Gambit Esports,1283.05,217,152,1586359984,Gambit,_
1047281,1047281,Speed Gaming International,1282.72,51,29,1389816358,SPG.int,_
111474,111474,Alliance,1282.65,992,737,1586281742,Alliance,_
36,36,Natus Vincere,1281.97,940,752,1586270419,Na`Vi,_
2526472,2526472,$5JuNGz$,1273.19,23,7,1444158470,$5JuNGz$,_
5027210,5027210,VGJ Thunder,1271.22,137,109,1534821698,VGJ.T,_
3326875,3326875,Faceless,1269.74,131,73,1498579717,fL,_
7098928,7098928,Adroit,1267.02,181,112,1585823416,Adroit,_
5167450,5167450,boths try again,1265.72,39,7,1586104164,_,_
7405754,7405754,Positive Guys,1259.51,26,9,1572362697,PG,_
3326126,3326126,Team VG.J,1254.42,66,45,1483257669,VG.J,_
7298091,7298091,NoPing Esports,1254.08,52,35,1585950210,NOPING,_
3722973,3722973,Team Onyx,1251.35,28,24,1489787368,Onyx,_
