,team_id,rating,wins,losses,last_match_time,name,tag,logo_url,WR
2413439,2413439.0,1110.44,21.0,20.0,1449753816.0,Team SatuDuaTiga,123,https://steamusercontent-a.akamaihd.net/ugc/525015750980111983/A97F313C0F62B158F0B5A4969EA1E1E15E5A8608/,0.5121951219512195
6121641,6121641.0,984.0,1.0,2.0,1552135811.0,SINS Gaming,SINS,https://steamusercontent-a.akamaihd.net/ugc/955213564521905672/4E97E2A1017E1CCF0158A4C02358CFAE25B50C28/,0.3333333333333333
6876558,6876558.0,970.872,0.0,2.0,1552135817.0,IU,IU,https://steamusercontent-a.akamaihd.net/ugc/777370105317453024/25D127553F7D020BEB0BFAAA568E36FAECEF9B35/,0.0
1292734,1292734.0,968.7739999999999,0.0,2.0,1552136312.0,Fortune in eXecution,FiX,https://steamusercontent-a.akamaihd.net/ugc/584656300243229406/BCFAB34333AEA660BB9862617D7B31745458574E/,0.0
6711875,6711875.0,958.3560000000001,1.0,4.0,1552136813.0,Genocide.id,GD,https://steamusercontent-a.akamaihd.net/ugc/771728254132066404/207B4686FA6253769CD4DEAE61E8F517C97B2DA3/,0.2
5079366,5079366.0,945.696,0.0,4.0,1552136856.0,Brain Lag,BLag,https://steamusercontent-a.akamaihd.net/ugc/874121111439675233/7A518DF3C8E4B2506BB60A981779630440296E6D/,0.0
6240049,6240049.0,967.508,0.0,2.0,1552137268.0,Team Chill,Chill,https://steamusercontent-a.akamaihd.net/ugc/799862991068465106/02E5D1B0D6696045DD494A34EFAEB2DA625B82DB/,0.0
6851053,6851053.0,985.556,1.0,2.0,1552137645.0,GENIUS.ID,Genius,https://steamusercontent-a.akamaihd.net/ugc/996889770569165983/89DB26760D0EF12B00204922CCBA8820048B010E/,0.3333333333333333
5967957,5967957.0,983.41,0.0,1.0,1552137932.0,Piesca Gaming,,https://steamusercontent-a.akamaihd.net/ugc/825758054685534105/D2DA1E34D31DD1B963AEA9A1DCCC56A3CD49DB38/,0.0
6876973,6876973.0,972.7760000000001,0.0,2.0,1552138001.0,Migraine,MGRN,,0.0
1955254,1955254.0,1002.02,2.0,2.0,1552139240.0,Osithok Gaming,Osi,https://steamusercontent-a.akamaihd.net/ugc/541898104234797986/3B40C6EF01E5987E3A2F7282F56D61FD06A3E3AB/,0.5
4482446,4482446.0,996.784,2.0,2.0,1552139614.0,InquisitorGaming,Inquisitor,https://steamusercontent-a.akamaihd.net/ugc/998016307387472893/F41DF8106BDBA12C914D02015F8E79DB98D24F82/,0.5
6613331,6613331.0,972.1669999999999,1.0,3.0,1552140608.0,JambeeWarrior,Jambee,https://steamusercontent-a.akamaihd.net/ugc/956351359779078564/732583523CCCDFBCD70A71DD92486EF21E2734F6/,0.25
6501138,6501138.0,994.005,3.0,4.0,1552140942.0,RNB GAMING,RNB,https://steamusercontent-a.akamaihd.net/ugc/954098569472004668/69BF0CC097D7A7F64C8BF22DEA1B84ACDF34F755/,0.42857142857142855
6877314,6877314.0,991.465,1.0,3.0,1552141185.0,Canarinho,,,0.25
6876904,6876904.0,983.79,1.0,2.0,1552141566.0,E D I,EDI,https://steamusercontent-a.akamaihd.net/ugc/981127808784876669/6720A5A2F8FEA24F420062FA7C0B69BFF0539268/,0.3333333333333333
6736089,6736089.0,1029.22,4.0,2.0,1552142136.0,Fos Esport,FoS,https://steamusercontent-a.akamaihd.net/ugc/924796350726000067/7EDE3C9685852EA26B5036873D23BB4E9C662EE3/,0.6666666666666666
4819197,4819197.0,984.0,0.0,1.0,1552143627.0,peaceful,peaceful,https://steamusercontent-a.akamaihd.net/ugc/829076856552666149/67E1B435588BB9C947730B97E3CCCBBCFEF8FADE/,0.0
6265224,6265224.0,988.488,10.0,10.0,,Helheim,Helheim,https://steamusercontent-a.akamaihd.net/ugc/954091437593009079/3D393969B0FF284D6F99BBAF105079A77B8938D9/,0.5
6306993,6306993.0,968.7360000000001,0.0,2.0,1552144118.0,Scastlivaya Morfuwa,Morfuwa,https://steamusercontent-a.akamaihd.net/ugc/963099456084285674/4C162AEFA8A800EA5E31EA71EE8A8E366D89B375/,0.0
6878197,6878197.0,1005.76,2.0,2.0,1552144359.0,SS Darvinz,DARVINZ,,0.5
5869713,5869713.0,988.488,10.0,10.0,,Ready to Win,RTw,https://steamusercontent-a.akamaihd.net/ugc/987883208231435028/FF47A3732051AF7D3EBC63DB7C959E52373B5BB5/,0.5
6820499,6820499.0,1043.25,5.0,2.0,1552144816.0,Nemesis Esports,Nemesis,https://steamusercontent-a.akamaihd.net/ugc/985631408408648290/06AFB714B36B096CA0766557DF8964EBB9CC9B97/,0.7142857142857143
148164,148164.0,1011.88,6.0,5.0,1552145952.0,Flawless,FL,https://steamusercontent-a.akamaihd.net/ugc/99474624732545455/7D328D6F9C0811CF9158C99A52E0CB43BBC26D8C/,0.5454545454545454
1981049,1981049.0,983.855,0.0,1.0,1552146967.0,Bovda-Gaming,BG,https://steamusercontent-a.akamaihd.net/ugc/27347271106159244/5EE78DB42C789E8DCDE1056648D20315FF97E556/,0.0
6847819,6847819.0,928.341,0.0,5.0,1552147447.0,Artogrul,Artl,https://steamusercontent-a.akamaihd.net/ugc/963112429830229457/37789B0BF40F4C5A24D954B91A5C8A1266EF291F/,0.0
6846964,6846964.0,953.508,1.0,4.0,1552147767.0,4tm,4tm..,https://steamusercontent-a.akamaihd.net/ugc/1010400569452128674/B75A80881F3F1305EC172950D3623A1CE23ABD77/,0.2
5946928,5946928.0,1002.72,2.0,2.0,1552147767.0,Titans Killers,TK,https://steamusercontent-a.akamaihd.net/ugc/947348885625386437/FE1C7732C7C5BDF0C1C1291116C541DD864C8A6A/,0.5
6658696,6658696.0,956.93,1.0,4.0,1552148141.0,,,https://steamusercontent-a.akamaihd.net/ugc/948472629468486796/77AF74949F32D14F410DA3505D611BF54618AF6C/,0.2
6846173,6846173.0,1000.0,1.0,1.0,1552150276.0,Hentai Team,lft,https://steamusercontent-a.akamaihd.net/ugc/832513454109917604/E899813E2EB49059B5C448FD5A5B0B9D8023C6BE/,0.5
6213065,6213065.0,984.0,0.0,1.0,1552150436.0,pØdium,pØdium,https://steamusercontent-a.akamaihd.net/ugc/959722906941453572/9043BE8391F9FF8B18A1D18A21BDF26461D386DD/,0.0
6519283,6519283.0,1014.53,1.0,0.0,1552151423.0,Gravity,GVT,,1.0
3688866,3688866.0,985.436,0.0,1.0,1552151496.0,LSD,LSD,https://steamusercontent-a.akamaihd.net/ugc/1000269372908698954/F349E718877582676C82C42B18ABF5B5B3CFC96F/,0.0
6682706,6682706.0,1015.13,2.0,1.0,1552153034.0,KievStars,K★,https://steamusercontent-a.akamaihd.net/ugc/954103393110232213/4B789BEF75CE5C05580A6665E4BB1558FCA1CA59/,0.6666666666666666
419500,419500.0,1063.57,4.0,0.0,1552161589.0,Nine Lifes,NL,https://steamusercontent-a.akamaihd.net/ugc/958587215620895751/08EA162AF596F6F7D6AB86BCA3C03CAFF62825A3/,1.0
6764456,6764456.0,959.03,0.0,3.0,1552196924.0,Shutdown ESC,SD,https://steamusercontent-a.akamaihd.net/ugc/942844394045264895/D4ADF57AD2D9CC2366915FC35AB84752E2B26533/,0.0
6869992,6869992.0,1004.44,2.0,2.0,1552198281.0,NEMESIS E-SPORTS,Nemesis,https://steamusercontent-a.akamaihd.net/ugc/989009108132806121/533C1E7045D655E135F7B3DB40FC088D4D9B210D/,0.5
5638182,5638182.0,1089.02,13.0,6.0,1552205478.0,Madefake Esports,Mdfk,https://steamusercontent-a.akamaihd.net/ugc/956344776539853899/06F61D8B640814CB91E7CA714CD44CE9056E532A/,0.6842105263157895
4101827,4101827.0,998.47,2.0,2.0,1552208873.0,LAGENDA,LAGENDA,https://steamusercontent-a.akamaihd.net/ugc/784037287455601056/4EB6CC0AF981ACDA304EDA6F3A969344BD9573A1/,0.5
6594251,6594251.0,1097.79,10.0,6.0,1552216190.0,TEAM UKRAINE,UKRAINA,,0.625
5270154,5270154.0,1133.86,15.0,9.0,1552216190.0,Team Russia,,https://steamusercontent-a.akamaihd.net/ugc/938311266632528679/C8EF88E55A960C565ED9D0DC24B404B8E43BC1B8/,0.625
6667212,6667212.0,986.0239999999999,0.0,1.0,1552219544.0,Risorto Dai Morti [RDM],[RDM],https://steamusercontent-a.akamaihd.net/ugc/1009310639735728943/38C80D2DD7643A11EE0CAA64876A737EA6C3B3D5/,0.0
